data,valor,serie,processado_em
2023-05-11,4.969,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-12,4.9228,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-15,4.9097,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-16,4.9116,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-17,4.9507,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-18,4.9641,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-19,4.9852,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-22,4.9674,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-23,4.9668,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-24,4.9468,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-25,4.9984,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-26,5.0108,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-29,4.9948,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-30,5.0587,dolar_comercial,2026-06-08T22:16:26.828931
2023-05-31,5.0953,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-01,5.0344,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-02,4.9552,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-05,4.923,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-06,4.9286,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-07,4.9113,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-09,4.8916,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-12,4.8826,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-13,4.8527,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-14,4.8456,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-15,4.8216,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-16,4.828,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-19,4.7797,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-20,4.7924,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-21,4.7789,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-22,4.7744,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-23,4.7793,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-26,4.7692,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-27,4.7897,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-28,4.8557,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-29,4.8578,dolar_comercial,2026-06-08T22:16:26.828931
2023-06-30,4.8186,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-03,4.787,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-04,4.805,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-05,4.8571,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-06,4.8971,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-07,4.8793,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-10,4.8729,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-11,4.8943,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-12,4.8052,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-13,4.8032,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-14,4.7951,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-17,4.8296,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-18,4.8034,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-19,4.7994,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-20,4.7882,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-21,4.7726,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-24,4.7451,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-25,4.749,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-26,4.7362,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-27,4.7196,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-28,4.7247,dolar_comercial,2026-06-08T22:16:26.828931
2023-07-31,4.7409,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-01,4.7746,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-02,4.8077,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-03,4.8791,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-04,4.8603,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-07,4.9004,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-08,4.9211,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-09,4.9009,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-10,4.8512,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-11,4.8912,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-14,4.9475,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-15,4.9806,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-16,4.9765,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-17,4.981,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-18,4.9718,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-21,4.9841,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-22,4.9425,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-23,4.8971,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-24,4.8742,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-25,4.8766,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-28,4.8933,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-29,4.87,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-30,4.8647,dolar_comercial,2026-06-08T22:16:26.828931
2023-08-31,4.9213,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-01,4.9312,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-04,4.917,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-05,4.9699,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-06,4.9756,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-08,4.9829,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-11,4.936,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-12,4.9499,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-13,4.9165,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-14,4.8745,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-15,4.8683,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-18,4.8529,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-19,4.8569,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-20,4.8481,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-21,4.9223,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-22,4.9125,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-25,4.96,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-26,4.9711,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-27,5.0283,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-28,5.0469,dolar_comercial,2026-06-08T22:16:26.828931
2023-09-29,5.007,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-02,5.0673,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-03,5.1094,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-04,5.152,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-05,5.1707,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-06,5.1912,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-09,5.166,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-10,5.0856,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-11,5.049,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-13,5.0619,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-16,5.0612,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-17,5.0378,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-18,5.0562,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-19,5.0534,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-20,5.0522,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-23,5.0158,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-24,5.0059,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-25,4.9975,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-26,5.0049,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-27,4.9474,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-30,5.0068,dolar_comercial,2026-06-08T22:16:26.828931
2023-10-31,5.0569,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-01,5.0188,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-03,4.8904,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-06,4.8993,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-07,4.8664,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-08,4.8849,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-09,4.9001,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-10,4.9213,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-13,4.924,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-14,4.8676,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-16,4.8569,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-17,4.8843,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-20,4.8717,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-21,4.88,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-22,4.8962,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-23,4.8925,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-24,4.8921,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-27,4.8945,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-28,4.8861,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-29,4.8927,dolar_comercial,2026-06-08T22:16:26.828931
2023-11-30,4.9349,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-01,4.9185,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-04,4.9085,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-05,4.9516,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-06,4.9025,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-07,4.8943,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-08,4.9152,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-11,4.9434,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-12,4.947,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-13,4.9573,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-14,4.8906,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-15,4.9391,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-18,4.9393,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-19,4.8657,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-20,4.876,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-21,4.8749,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-22,4.8613,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-26,4.8362,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-27,4.83,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-28,4.8407,dolar_comercial,2026-06-08T22:16:26.828931
2023-12-29,4.8407,dolar_comercial,2026-06-08T22:16:26.828931
