id,serie,data,valor,carregado_em
85,dolar_comercial,2023-05-05,4.969,2026-06-08T22:21:55.873731
86,dolar_comercial,2023-05-08,4.969,2026-06-08T22:21:55.873731
87,dolar_comercial,2023-05-09,5.0001,2026-06-08T22:21:55.873731
88,dolar_comercial,2023-05-10,4.9541,2026-06-08T22:21:55.873731
89,dolar_comercial,2023-05-11,4.969,2026-06-08T22:21:55.873731
90,dolar_comercial,2023-05-12,4.9228,2026-06-08T22:21:55.873731
91,dolar_comercial,2023-05-15,4.9097,2026-06-08T22:21:55.873731
92,dolar_comercial,2023-05-16,4.9116,2026-06-08T22:21:55.873731
93,dolar_comercial,2023-05-17,4.9507,2026-06-08T22:21:55.873731
94,dolar_comercial,2023-05-18,4.9641,2026-06-08T22:21:55.873731
95,dolar_comercial,2023-05-19,4.9852,2026-06-08T22:21:55.873731
96,dolar_comercial,2023-05-22,4.9674,2026-06-08T22:21:55.873731
97,dolar_comercial,2023-05-23,4.9668,2026-06-08T22:21:55.873731
98,dolar_comercial,2023-05-24,4.9468,2026-06-08T22:21:55.873731
99,dolar_comercial,2023-05-25,4.9984,2026-06-08T22:21:55.873731
100,dolar_comercial,2023-05-26,5.0108,2026-06-08T22:21:55.873731
101,dolar_comercial,2023-05-29,4.9948,2026-06-08T22:21:55.873731
102,dolar_comercial,2023-05-30,5.0587,2026-06-08T22:21:55.873731
103,dolar_comercial,2023-05-31,5.0953,2026-06-08T22:21:55.873731
104,dolar_comercial,2023-06-01,5.0344,2026-06-08T22:21:55.873731
105,dolar_comercial,2023-06-02,4.9552,2026-06-08T22:21:55.873731
106,dolar_comercial,2023-06-05,4.923,2026-06-08T22:21:55.873731
107,dolar_comercial,2023-06-06,4.9286,2026-06-08T22:21:55.873731
108,dolar_comercial,2023-06-07,4.9113,2026-06-08T22:21:55.873731
109,dolar_comercial,2023-06-09,4.8916,2026-06-08T22:21:55.873731
110,dolar_comercial,2023-06-12,4.8826,2026-06-08T22:21:55.873731
111,dolar_comercial,2023-06-13,4.8527,2026-06-08T22:21:55.873731
112,dolar_comercial,2023-06-14,4.8456,2026-06-08T22:21:55.873731
113,dolar_comercial,2023-06-15,4.8216,2026-06-08T22:21:55.873731
114,dolar_comercial,2023-06-16,4.828,2026-06-08T22:21:55.873731
115,dolar_comercial,2023-06-19,4.7797,2026-06-08T22:21:55.873731
116,dolar_comercial,2023-06-20,4.7924,2026-06-08T22:21:55.873731
117,dolar_comercial,2023-06-21,4.7789,2026-06-08T22:21:55.873731
118,dolar_comercial,2023-06-22,4.7744,2026-06-08T22:21:55.873731
119,dolar_comercial,2023-06-23,4.7793,2026-06-08T22:21:55.873731
120,dolar_comercial,2023-06-26,4.7692,2026-06-08T22:21:55.873731
121,dolar_comercial,2023-06-27,4.7897,2026-06-08T22:21:55.873731
122,dolar_comercial,2023-06-28,4.8557,2026-06-08T22:21:55.873731
123,dolar_comercial,2023-06-29,4.8578,2026-06-08T22:21:55.873731
124,dolar_comercial,2023-06-30,4.8186,2026-06-08T22:21:55.873731
125,dolar_comercial,2023-07-03,4.787,2026-06-08T22:21:55.873731
126,dolar_comercial,2023-07-04,4.805,2026-06-08T22:21:55.873731
127,dolar_comercial,2023-07-05,4.8571,2026-06-08T22:21:55.873731
128,dolar_comercial,2023-07-06,4.8971,2026-06-08T22:21:55.873731
129,dolar_comercial,2023-07-07,4.8793,2026-06-08T22:21:55.873731
130,dolar_comercial,2023-07-10,4.8729,2026-06-08T22:21:55.873731
131,dolar_comercial,2023-07-11,4.8943,2026-06-08T22:21:55.873731
132,dolar_comercial,2023-07-12,4.8052,2026-06-08T22:21:55.873731
